File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine
ATL_se0_ag1_f_03_1,1028,Misc,1379.3054,1380.2556,0.9501999999999953,Don't be stupid.,1.0
ATL_se0_ag1_f_03_1,1045,ATL_int_01,1394.6671,1395.2373,0.5702000000001135,Be a plug.,1.0
ATL_se0_ag1_f_03_1,1161,ATL_se0_ag1_f_03,1550.9903,1554.3168,3.3265000000001237,"say you're doing something and it's getting on my nerves. I be like, you dragging like,",1.0
ATL_se0_ag1_f_03_1,1168,Misc,1561.7807,1562.3992,0.61850000000004, be.,1.0
ATL_se0_ag1_f_03_1,1169,ATL_se0_ag1_f_03,1563.8587,1565.4752,1.6165000000000873,"Yeah, it's about to be a movie.",1.0
ATL_se0_ag1_f_03_1,1206,ATL_se0_ag1_f_03,1613.026,1615.9522,2.9261999999998807,"Like my best friend, I be hearing her say it, but she won't say it like bruh.",1.0
ATL_se0_ag1_f_03_1,1208,ATL_se0_ag1_f_03,1616.5099,1617.4094,0.8994999999999891,"But she be like bruh,",1.0
ATL_se0_ag1_f_03_1,1277,ATL_se0_ag1_f_03,1693.2861,1695.2419,1.9557999999999538,"sometimes they be rude like, the other day,",1.0
ATL_se0_ag1_f_03_1,1301,ATL_se0_ag1_f_03,1727.723,1729.3172,1.5942000000000007,Or they be like what you finna do?,1.0
ATL_se0_ag1_f_03_1,1333,ATL_int_01,1762.2715,1764.5852,2.313699999999926,"Oh, you don't- you don't even like to be called ma'am?",1.0
ATL_se0_ag1_f_03_1,1370,ATL_int_01,1805.3819,1807.2985,1.9166000000000167,"Ooh, ho. Don't be talking about that.",1.0
ATL_se0_ag1_m_01_1,43,ATL_se0_ag1_m_01,42.9965,48.0294,5.032900000000005,"I- yeah d- I be putting that on job applications and everything, bruh, like ",1.0
ATL_se0_ag1_m_01_1,161,ATL_Int_01,210.7346,211.7889,1.054300000000012,Might be in some shit.,1.0
ATL_se0_ag1_m_01_1,163,ATL_se0_ag1_m_01,212.5712,213.9625,1.391300000000001,There will be some shit with it.,1.0
ATL_se0_ag1_m_01_1,338,ATL_se0_ag1_m_01,464.6795,470.5261,5.846599999999967,"get the like clay. That shit be like together, like a rock. That shit just blow up. We used to have, like them kind of fights, nigga.",1.0
ATL_se0_ag1_m_01_1,357,ATL_se0_ag1_m_01,496.8403,498.7851,1.9447999999999865,So this shit should be pretty interesting.,1.0
ATL_se0_ag1_m_01_1,395,ATL_se0_ag1_m_01,549.7093,551.3151,1.6058000000000447,"it be like kind of told us like,",1.0
ATL_se0_ag1_m_01_1,399,ATL_se0_ag1_m_01,554.3657,555.7268,1.3611000000000786,"I'd be like, man fuck that.",1.0
ATL_se0_ag1_m_01_1,401,ATL_se0_ag1_m_01,555.9471,560.2306,4.283500000000004,"By the time lunch start, you know what I'm saying, I could be coming back to school from fucking, you know what I'm saying, so.",1.0
ATL_se0_ag1_m_01_1,455,ATL_se0_ag1_m_01,633.0238,638.6989,5.675099999999929,"cool little move, cause I was just trying to chill out at that point. I just like damn, I- I must be bad as fuck. It's",1.0
ATL_se0_ag1_m_01_1,551,ATL_se0_ag1_m_01,774.5837,776.6654,2.0816999999999553,"And that shit mighta not even be right, like",1.0
ATL_se0_ag1_m_01_1,555,ATL_se0_ag1_m_01,780.576,782.1797,1.6037000000000035,"It just be a black shirt, like",1.0
ATL_se0_ag1_m_01_1,583,ATL_se0_ag1_m_01,824.1193,826.2824,2.1631000000000995,"I would be good, you know what I'm saying. Like I would be",2.0
ATL_se0_ag1_m_01_1,589,ATL_se0_ag1_m_01,830.8486,832.3601,1.5114999999999554,"They be, how the fuck did you do this?",1.0
ATL_se0_ag1_m_01_1,741,ATL_se0_ag1_m_01,1051.5908,1056.4512,4.860400000000027,"I swear to God, bruh. I said, man these niggas is weird as fuck. I'm finna be late.",1.0
ATL_se0_ag1_m_01_1,773,ATL_se0_ag1_m_01,1097.6197,1099.8416,2.221900000000005,"on the east side, bruh, it might be a fuck nigga,",1.0
ATL_se0_ag1_m_01_1,793,ATL_Int_01,1128.3856,1130.0402,1.6545999999998457,Do you ever be on the west side of Atlanta?,1.0
ATL_se0_ag1_m_01_1,804,ATL_se0_ag1_m_01,1138.9986,1145.0346,6.036000000000058,"Cause you know, you know what I'm saying, you might, it depend, bruh. Some niggas be intimidated. You can't walk around there intimidated, like,",1.0
ATL_se0_ag1_m_01_1,815,ATL_se0_ag1_m_01,1158.2308,1161.2371,3.00630000000001,"you  just gonna know you a bitch, and you'll be treated like a bitch.",1.0
ATL_se0_ag1_m_01_1,816,ATL_se0_ag1_m_01,1161.9893,1164.4203,2.43100000000004,"You know what I'm saying, like we just be kicking shit though like,",1.0
ATL_se0_ag1_m_01_1,820,ATL_se0_ag1_m_01,1167.464,1174.0625,6.598500000000058,"you know what I'm saying, niggas come up tryna roast your ass maybe once or twice. You gotta be able to come back with the shit, you know what I'm saying. Oh, already know.",1.0
ATL_se0_ag1_m_01_1,822,ATL_se0_ag1_m_01,1174.4365,1177.3561,2.919599999999946,"Other than that, bruh, we just be smoking jay, you know what I'm saying, chilling, bruh.",1.0
ATL_se0_ag1_m_01_1,886,ATL_se0_ag1_m_01,1255.4794,1258.2138,2.7344000000000506, It be everywhere.,1.0
ATL_se0_ag1_m_01_1,888,ATL_se0_ag1_m_01,1258.515,1259.8359,1.3208999999999378,"It be everywhere, bruh.",1.0
ATL_se0_ag1_m_01_1,898,ATL_se0_ag1_m_01,1271.4922,1273.8074,2.3152000000000044,"Yeah, bruh, I wasn't cut out to be a janitor.",1.0
ATL_se0_ag1_m_01_1,1031,ATL_se0_ag1_m_01,1454.2743,1456.6994,2.4250999999999294,like even with the meanings that be in it like the,1.0
ATL_se0_ag1_m_01_1,1153,ATL_Int_01,1642.5138,1644.7193,2.205500000000029,you would be the- considered the middle child?,1.0
ATL_se0_ag1_m_01_1,1327,ATL_Int_01,1911.9096,1912.8562,0.9465999999999894,That'd be a hell of a life.,1.0
ATL_se0_ag1_m_01_1,1369,ATL_se0_ag1_m_01,1991.527,1992.8401,1.3130999999998494,But that bacon be calling me.,1.0
ATL_se0_ag1_m_01_1,1393,ATL_Int_01,2020.4356,2021.824,1.388400000000047,"Sure, they be bustling.",1.0
ATL_se0_ag1_m_01_1,1406,ATL_se0_ag1_m_01,2037.6856,2040.8357,3.150100000000066,"Shit, I cook hot shit, where you be like, damn you made this?",1.0
ATL_se0_ag1_m_01_1,1417,ATL_se0_ag1_m_01,2056.5277,2058.2954,1.767699999999877,"we'll be in there, we'll go hot box.",1.0
ATL_se0_ag1_m_01_1,1421,ATL_se0_ag1_m_01,2062.4131,2062.8794,0.4662999999995918,it be like,1.0
ATL_se0_ag1_m_01_1,1423,ATL_se0_ag1_m_01,2063.3135,2064.9634,1.6498999999998887,"two in the morning, niggas be hungry.",1.0
ATL_se0_ag1_m_01_1,1425,ATL_se0_ag1_m_01,2066.1438,2068.2314,2.087600000000293,"I go in there and I- I be like, shit,",1.0
ATL_se0_ag1_m_01_1,1427,ATL_se0_ag1_m_01,2068.3117,2071.3983,3.0865999999996347,"cool well I'm finna cook something. They be like, whatchu gonna cook, bruh? It's like",1.0
ATL_se0_ag1_m_01_1,1481,ATL_se0_ag1_m_01,2134.0658,2134.9116,0.8458000000000538,She'll be here in,1.0
ATL_se0_ag1_m_01_1,1598,ATL_Int_01,2296.281,2297.8621,1.5810999999998785,"whatchu be watching, um,",1.0
ATL_se0_ag1_m_01_1,1620,ATL_se0_ag1_m_01,2331.0324,2334.0615,3.029099999999744,"Movies, I don't know. I just like good movies. That shit just gotta be good.",1.0
ATL_se0_ag1_m_01_1,1625,ATL_Int_01,2345.3002,2347.3989,2.098700000000008,Do you even know when they supposed to be bringing it back?,1.0
ATL_se0_ag1_m_01_1,1628,ATL_se0_ag1_m_01,2351.3612,2353.0472,1.6860000000001492,That shit should be coming back soon.,1.0
ATL_se0_ag1_m_01_1,1633,ATL_Int_01,2358.295,2359.699,1.4039999999999964,I will be the .,1.0
ATL_se0_ag1_m_01_1,1664,ATL_se0_ag1_m_01,2408.728,2411.2914,2.5634000000000015,"I don't know. I- man, I might be stretching it with twelve, bruh.",1.0
ATL_se0_ag1_m_01_1,1665,ATL_Int_01,2411.5066,2412.7792,1.272599999999784,You might be stretching it with twelve?,1.0
ATL_se0_ag1_m_01_1,1682,ATL_se0_ag1_m_01,2442.4029,2443.7753,1.3723999999997432,"Them shits be evil, nigga.",1.0
ATL_se0_ag1_m_01_1,1707,ATL_Int_01,2467.5843,2470.6415,3.0572000000001935,"I rock with the Regular Show. They do be having some good, um,",1.0
ATL_se0_ag1_m_01_1,1713,ATL_se0_ag1_m_01,2474.8557,2476.2245,1.3687999999997373,It be a lot of- whole lot of,1.0
ATL_se0_ag1_m_01_1,1803,ATL_Int_01,2612.4356,2616.9368,4.5012000000001535,"You don't even rock Jays like, you seem like the dude who wouldn't even be rocking Jays like that.",1.0
ATL_se0_ag1_m_01_1,1899,ATL_Int_01,2754.8328,2756.4652,1.6323999999999614,"Not really, but I could be.",1.0
ATL_se0_ag1_m_02_1,129,ATL_se0_ag1_m_02,133.0566,133.7675,0.7109000000000094,who would be,1.0
ATL_se0_ag1_m_02_1,135,ATL_se0_ag1_m_02,136.1552,137.4081,1.2528999999999826,would be older than me,1.0
ATL_se0_ag1_m_02_1,340,ATL_se0_ag1_m_02,342.1506,344.8745,2.7239000000000146,everything wasn't in my will to be how it is right now.,1.0
ATL_se0_ag1_m_02_1,442,ATL_se0_ag1_m_02,451.4544,453.5492,2.094799999999964,me be able to touch them all how I want to,1.0
ATL_se0_ag1_m_02_1,485,ATL_int_01,498.2306,500.3435,2.1129000000000246,I think it's very okay to be a weirdo.,1.0
ATL_se0_ag1_m_02_1,488,ATL_int_01,502.8189,506.482,3.6631000000000427,it's way cooler to be a weirdo now. Not so much back then though,1.0
ATL_se0_ag1_m_02_1,504,ATL_int_01,523.8856,525.1034,1.217800000000011,it's something to be proud of.,1.0
ATL_se0_ag1_m_02_1,619,ATL_se0_ag1_m_02,663.573,664.485,0.9120000000000346,"They don't just be like,",1.0
