File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48
ATL_se0_ag1_m_01_1,1406,ATL_se0_ag1_m_01,2037.6856,2040.8357,3.1501,"Shit, I cook hot shit, where you be like, damn you made this?",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shit,",I,cook,hot,"shit,",where,you,be ,"like,",damn,you,made,this?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1421,ATL_se0_ag1_m_01,2062.4131,2062.8794,0.4663,it be like,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it,be ,like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1423,ATL_se0_ag1_m_01,2063.3135,2064.9634,1.6499,"two in the morning, niggas be hungry.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,two,in,the,"morning,",niggas,be ,hungry.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1425,ATL_se0_ag1_m_01,2066.1438,2068.2314,2.0876,"I go in there and I- I be like, shit,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,go,in,there,and,I-,I,be ,"like,","shit,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1427,ATL_se0_ag1_m_01,2068.3117,2071.3983,3.0866,"cool well I'm finna cook something. They be like, whatchu gonna cook, bruh? It's like",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cool,well,I'm,finna,cook,something.,They,be ,"like,",whatchu,gonna,"cook,",bruh?,It's,like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1598,ATL_Int_01,2296.281,2297.8621,1.5811,"whatchu be watching, um,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whatchu,be ,"watching,","um,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1707,ATL_Int_01,2467.5843,2470.6415,3.0572,"I rock with the Regular Show. They do be having some good, um,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,rock,with,the,Regular,Show.,They,do,be ,having,some,"good,","um,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,619,ATL_se0_ag1_m_02,663.573,664.485,0.912,"They don't just be like,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They,don't,just,be ,"like,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,621,ATL_se0_ag1_m_02,664.5973,668.2486,3.6513,"I write poetry, you know what I'm saying, and be spitting poetry bars.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,write,"poetry,",you,know,what,I'm,"saying,",and,be ,spitting,poetry,bars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1049,ATL_se0_ag1_m_02,1134.8986,1135.8524,0.9538,But I don't be like-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,But,I,don't,be ,like-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
