File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,WadaSNRMeade,WadaSNRRigal,NistSNRRigal,SyllableCount,SpeechRate
DCA_se1_ag4_m_02_1,1729,DCA_se1_ag4_m_02,2123.7649,2126.6289,2.864,"all my friends, my family, or whatever I've said or done",1,0,11.46460141,11.4,3.25,15,5.237430168
DCA_se2_ag1_f_04_1,887,DCA_se2_ag1_f_04,1240.6435,1245.7332,5.0897,"cause I think about all the year, all the things that I have done that's bad and good.",1,0,7.575274358,7.51,6.5,19,3.733029452
DCA_se2_ag1_f_05_1,466,DCA_se2_ag1_f_05,553.4887,559.2271,5.7384,"And I did something I shouldn't have done, and  he said he was gonna bust me on my lip, but then he changed his mind.",1,0,12.23963857,12.13,23.0,28,4.879408894
DCA_se2_ag1_f_07_1,316,DCA_se2_ag1_f_07,429.1759,430.1785,1.0026,"said had done it,",1,0,22.43935831,22.29,31.75,4,3.98962697
DCA_se2_ag1_f_07_1,951,DCA_se2_ag1_f_07,1214.4252,1223.2975,8.8723,"He know- He was- He- He knew- Well he had us for three years- He- knew we were bad and everything. And he realized- He- he knew we had done- You know, we had done that. He- he just kept us there. He was mad,",2,0,10.87682407,10.81,6.0,49,5.522806938
DCA_se2_ag1_f_07_1,960,DCA_se2_ag1_f_07,1233.6469,1240.2717,6.6248,"you know, individuals. He knew probably all us had done it cause all us had been together for three years, but he didn't take no, you know",1,0,15.36840098,15.23,9.25,36,5.434126313
DCA_se2_ag2_m_02_1,1635,DCA_se2_ag2_m_02,1925.3988,1927.25,1.8512,"don't interest me because I already done 'em, you know,",1,0,7.595430884,7.49,5.75,15,8.102852204
DCA_se2_ag2_m_02_1,2094,DCA_se2_ag2_m_02,2463.9173,2465.097,1.1797,"things that he never done before,",1,0,12.98546734,12.87,3.5,8,6.781385098
DCA_se2_ag2_m_03_1,713,DCA_se2_ag2_m_03,900.7712,901.2922,0.521,done for.,1,0,6.170136048,6.03,2.75,2,3.838771593
DCA_se2_ag2_m_03_1,2039,DCA_se2_ag2_m_03,2287.5894,2288.8144,1.225,what he had done and all th-,1,0,4.758689779,4.61,7.0,8,6.530612245
DCA_se2_ag2_m_03_1,2141,DCA_se2_ag2_m_03,2388.6266,2389.565,0.9384,would have done would-,1,0,10.93699979,10.86,13.25,4,4.262574595
DCA_se2_ag3_m_01_1,1497,DCA_se2_ag3_m_01,1536.3932,1541.974,5.5808,"from the lathe, slammed it in the floor, told me, that's wrong! And I don't want it done like that no more, you know.",1,0,13.60892768,13.52,11.0,24,4.300458716
DCA_se2_ag3_m_01_1,2578,DCA_se2_ag3_m_01,2724.9954,2730.399,5.4036,"you know, you don't have enough money to pay for it. You done order all this food up, you know, and you don't have enough money to pay for it.",1,1,8.495891556,8.4,6.0,35,6.477163373
DCA_se2_ag3_m_02_1,582,DCA_se2_ag3_m_02,686.3159,687.9246,1.6087,"whatever his name was, I done forgot his name.",1,1,18.86353967,18.61,13.25,12,7.459439299
DCA_se2_ag3_m_02_1,1109,DCA_se2_ag3_m_02,1322.6565,1324.7455,2.089,"where they would read it but they wouldn't know who done it, like",1,0,11.56500982,11.28,5.25,14,6.701771182
DCA_se2_ag3_m_03_1,1042,DCA_se2_ag3_m_03,1063.8726,1064.9851,1.1125,"something the child had done,",1,0,14.55546716,14.49,5.25,6,5.393258427
DCA_se3_ag1_f_03_1,366,DCA_se3_ag1_f_03,426.2971,426.6048,0.3077,done.,1,0,7.899530817,7.71,5.5,1,3.249918752
DCA_se3_ag1_f_03_1,371,DCA_se3_ag1_f_03,428.3907,430.5636,2.1729,"and if I- after I got my homework done,",1,0,7.372996158,7.31,5.0,11,5.062359059
