File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27
DCB_se1_ag2_m_01_1,3039,DCB_se1_ag2_m_01,4144.7412,4147.9359,3.1947,Every time I get around you I'm thinking about how you done hung my ancestors.,1,1,you,hung,you_done_hung,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,Every,time,I,get,around,you,I'm,thinking,about,how,you,done ,hung,my,ancestors.,,,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag2_m_01_1,3126,DCB_se1_ag2_m_01,4265.6561,4269.7708,4.1147,"You done bust out with something exclusive, you got a brand new ass blue shirt on now.",1,1,you,bust,you_done_bust,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,,,,,,,,,,,,You,done ,bust,out,with,something,"exclusive,",you,got,a,brand,new,ass,blue,shirt,on,now.,,,,,,,,,,,,
DCB_se1_ag2_m_02_1,180,DCB_se1_ag2_m_02,222.1131,223.7922,1.6791,"like I done seen it in myself,",1,1,I,seen,I_done_seen,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,like,I,done ,seen,it,in,"myself,",,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag2_m_02_2,367,DCB_se1_ag2_m_02,515.5117,517.0977,1.586,confused they done had us,1,1,they,had,they_done_had,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,confused,they,done ,had,us,,,,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag3_m_02_1,232,DCB_se1_ag3_m_02,289.6276,293.4626,3.835,"I would s- for me, for my age and what I done picked up off it,",1,1,I,picked,I_done_picked,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,I,would,s-,for,"me,",for,my,age,and,what,I,done ,picked,up,off,"it,",,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag3_m_02_1,386,DCB_se1_ag3_m_02,537.9699,540.1189,2.149,"I done lived in DC probably about,",1,1,I,lived,I_done_lived,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,I,done ,lived,in,DC,probably,"about,",,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag3_m_02_2,232,DCB_se1_ag3_m_02,357.4537,358.9784,1.5247,I done been to every,1,1,I,been,I_done_been,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,I,done ,been,to,every,,,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag3_m_02_2,234,DCB_se1_ag3_m_02,359.3626,363.3372,3.9746,game that I like I done been to one except DC United game.,1,1,I,been,I_done_been,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,game,that,I,like,I,done ,been,to,one,except,DC,United,game.,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag4_f_01_1,50,DCB_se1_ag4_f_01,39.3426,41.9198,2.5772,They done tore it down but the building is still there.,1,1,they,tore,they_done_tore,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,They,done ,tore,it,down,but,the,building,is,still,there.,,,,,,,,,,,,,,,,,,
DCB_se1_ag4_f_01_2,1000,DCB_se1_ag4_f_01,1157.0973,1161.6499,4.5526,"So y- it's not like you can't tell me nothing but if I'm telling you something that I done been through,",1,1,I,been,I_done_been,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,So,y-,it's,not,like,you,can't,tell,me,nothing,but,if,I'm,telling,you,something,that,I,done ,been,"through,",,,,,,,,,,,,,,,,,,,,,,,,,
